"id","domain","subdomain","question","conversation_id","turn_number","expected_intent","expected_entity_type","expected_entity_name","expected_output_type","expected_time_scope","expected_behavior","expected_answer_contains","expected_answer_not_contains","expected_result_min","expected_result_max","ambiguity_expected","zero_result_allowed","priority","notes"
"AC-001","members","lookup","who is Joseph Varghese","","","person_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-002","members","lookup","tell me about Joseph Varghese","","","person_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-003","members","lookup","show Joseph Varghese","","","person_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-004","members","lookup","find Joseph Varghese","","","person_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-005","members","lookup","show me Fr Joseph Varghese","","","person_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-006","members","lookup","show me Fr. Joseph Varghese","","","person_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-007","members","lookup","tell me about Bro Joseph Vadakkel","","","person_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-008","members","lookup","tell me about Bro. Joseph Vadakkel","","","person_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-009","members","profile","what is Joseph Varghese's religious ID","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-010","members","profile","what qualifications does Joseph Varghese have","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-011","members","profile","where is Joseph Varghese from","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-012","members","profile","what is Joseph Varghese's home parish","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-013","members","profile","which diocese is Joseph Varghese from","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-014","members","profile","which state is Joseph Varghese from","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-015","members","profile","which community is Joseph Varghese in","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-016","members","profile","which ministry is Joseph Varghese in","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P1",""
"AC-017","members","profile","profile of Joseph Varghese","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 1 safe profile facts"
"AC-018","members","profile","what is Joseph Varghese's date of birth","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 1 safe profile facts"
"AC-019","members","profile","when was Joseph Varghese born","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 1 safe profile facts"
"AC-020","members","profile","how old is Joseph Varghese","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 1 safe profile facts"
"AC-021","members","profile","show Joseph Varghese's email","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 3 caller-authorized safe profile contact facts"
"AC-022","members","profile","show Joseph Varghese's phone","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 3 caller-authorized safe profile contact facts"
"AC-023","members","profile","show Joseph Varghese's address","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 3 caller-authorized safe profile contact facts"
"AC-024","members","profile","what languages does Joseph Varghese speak","","","member_languages","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Recorded member-language proficiency only"
"AC-025","members","profile","show Joseph Varghese's status","","","member_profile","member","Joseph Varghese","records","","PASS","","","","","false","false","P2","Wave 1 safe profile status"
"AC-026","age_demographics","extreme","who is the oldest","","","member_age_extreme","member","","single","","PASS","","","","","false","false","P0",""
"AC-027","age_demographics","extreme","who is the oldest member","","","member_age_extreme","member","","single","","PASS","","","","","false","false","P0",""
"AC-028","age_demographics","extreme","eldest member","","","member_age_extreme","member","","single","","PASS","","","","","false","false","P0",""
"AC-029","age_demographics","extreme","who is the youngest","","","member_age_extreme","member","","single","","PASS","","","","","false","false","P0",""
"AC-030","age_demographics","extreme","youngest religious","","","member_age_extreme","member","","single","","PASS","","","","","false","false","P0",""
"AC-031","age_demographics","extreme","who was born earliest","","","member_age_extreme","member","","single","","PASS","","","","","false","false","P0",""
"AC-032","age_demographics","filter","who is over 60","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-033","age_demographics","filter","members above 60","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-034","age_demographics","filter","who are older than 50","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-035","age_demographics","filter","who are under 40","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-036","age_demographics","filter","members below 50","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-037","age_demographics","filter","who are between 50 and 65 years old","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-038","age_demographics","filter","members aged between 40 and 60","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-039","age_demographics","filter","who is exactly 50 years old","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-040","age_demographics","filter","who are above 70 years old","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-041","age_demographics","filter","who are above 60 years old","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-042","age_demographics","filter","who are under 50","","","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-043","age_demographics","count","how many members are over 60","","","age_search","","","count","","PASS","","","","","false","false","P1",""
"AC-044","age_demographics","count","how many members are under 40","","","age_search","","","count","","PASS","","","","","false","false","P1",""
"AC-045","age_demographics","count","how many members are between 50 and 65","","","age_search","","","count","","PASS","","","","","false","false","P1",""
"AC-046","current_communities","count","how many communities are there","","","present_state","community","","count","","PASS","","","","","false","false","P1",""
"AC-047","current_communities","count","total communities","","","present_state","community","","count","","PASS","","","","","false","false","P1",""
"AC-048","current_communities","count","number of communities","","","present_state","community","","count","","PASS","","","","","false","false","P1",""
"AC-049","current_communities","count","how many communities do we have","","","present_state","community","","count","","PASS","","","","","false","false","P1",""
"AC-050","current_communities","ranking","largest community","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-051","current_communities","ranking","which is the largest community","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
"AC-052","current_communities","ranking","biggest community","","","community_size_ranking","community","","single","","PASS","","","","","false","false","P0",""
