id,family,question,expected_intent,topic,output_type,age,age_to,month,anniversary,expected_year
NL-001,ministry_counts,How many parishes,ministry_directory,parish,count,,,,,
NL-002,ministry_counts,How many schools,ministry_directory,school,count,,,,,
NL-003,ministry_counts,How many hospitals,ministry_directory,hospital,count,,,,,
NL-004,ministry_counts,How many retreat centres,ministry_directory,retreat_centre,count,,,,,
NL-005,ministry_counts,How many old age homes,ministry_directory,old_age_home,count,,,,,
NL-006,ministry_counts,number of parishes,ministry_directory,parish,count,,,,,
NL-007,ministry_counts,count the parishes,ministry_directory,parish,count,,,,,
NL-008,ministry_counts,how many parish ministries are there,ministry_directory,parish,count,,,,,
NL-009,age_ranges,How many members between 55 years old to 60 years old,age_search,,count,55,60,,,
NL-010,age_ranges,members between 55 and 60,age_search,,records,55,60,,,
NL-011,age_ranges,members between 55 years old and 60 years old,age_search,,records,55,60,,,
NL-012,age_ranges,age 55 to 60,age_search,,records,55,60,,,
NL-013,age_ranges,aged 55–60,age_search,,records,55,60,,,
NL-014,age_ranges,from 55 to 60 years,age_search,,records,55,60,,,
NL-015,age_ranges,members between 60 to 55,age_search,,records,60,55,,,
NL-016,age_ranges,how many members age 55 to 60,age_search,,count,55,60,,,
NL-017,birthday_month,how many birthdays in the month of september,birthday_month,,count,,,9,,
NL-018,birthday_month,how many birthdays in September,birthday_month,,count,,,9,,
NL-019,birthday_month,how many members have birthdays in September,birthday_month,,count,,,9,,
NL-020,birthday_month,birthdays this September,birthday_month,,records,,,9,,
NL-021,birthday_month,who has a birthday in September,birthday_month,,records,,,9,,
NL-022,birthday_month,September birthdays,birthday_month,,records,,,9,,
NL-023,birthday_month,birthdays in the month of September,birthday_month,,records,,,9,,
NL-024,birthday_month,who has birthdays in January,birthday_month,,records,,,1,,
NL-025,vocation_anniversary,How many members will have their 10th year first vows anniversary next year,vocation_anniversary,FIRST_PROFESSION,count,,,,10,NEXT_YEAR
NL-026,vocation_anniversary,who will celebrate 10th first profession anniversary next year,vocation_anniversary,FIRST_PROFESSION,records,,,,10,NEXT_YEAR
NL-027,vocation_anniversary,25th first profession anniversary in 2030,vocation_anniversary,FIRST_PROFESSION,records,,,,25,2030
NL-028,vocation_anniversary,50th temporary vows anniversary this year,vocation_anniversary,FIRST_PROFESSION,records,,,,50,THIS_YEAR
NL-029,vocation_anniversary,40 years of first profession next year,vocation_anniversary,FIRST_PROFESSION,records,,,,40,NEXT_YEAR
NL-030,vocation_anniversary,how many 25th first vows anniversaries in 2030,vocation_anniversary,FIRST_PROFESSION,count,,,,25,2030
NL-031,vocation_anniversary,members reaching 10th temporary vows anniversary last year,vocation_anniversary,FIRST_PROFESSION,records,,,,10,LAST_YEAR
NL-032,vocation_anniversary,10th first profession anniversary this year,vocation_anniversary,FIRST_PROFESSION,records,,,,10,THIS_YEAR
NL-033,community_opening,When was the St. Joseph Community - Rourkela formed?,community_lifecycle,OPENED,records,,,,,
NL-034,community_opening,when was the St. Joseph Community - Rourkela started?,community_lifecycle,OPENED,records,,,,,
NL-035,community_opening,when was the St. Joseph Community - Rourkela established?,community_lifecycle,OPENED,records,,,,,
NL-036,community_opening,when was the St. Joseph Community - Rourkela began?,community_lifecycle,OPENED,records,,,,,
NL-037,community_opening,when was St. Joseph Community - Rourkela opened?,community_lifecycle,OPENED,records,,,,,
NL-038,community_opening,when was St. Joseph Community - Rourkela founded?,community_lifecycle,OPENED,records,,,,,
NL-039,directory_phrasing,list of ministries,ministry_directory,all,records,,,,,
NL-040,directory_phrasing,list of communities,community_directory,active,records,,,,,
NL-041,directory_phrasing,give me a list of ministries,ministry_directory,all,records,,,,,
NL-042,directory_phrasing,give me a list of communities,community_directory,active,records,,,,,
NL-043,directory_phrasing,show me the ministries,ministry_directory,all,records,,,,,
NL-044,directory_phrasing,show me the communities,community_directory,active,records,,,,,
NL-045,directory_phrasing,what ministries are there,ministry_directory,all,records,,,,,
NL-046,directory_phrasing,what communities are there,community_directory,active,records,,,,,
NL-047,ministry_staffing,How many members works at St. Antony college,ministry_assignment_history,current,count,,,,,
NL-048,ministry_staffing,how many members work at St. Antony College,ministry_assignment_history,current,count,,,,,
NL-049,ministry_staffing,how many religious work at St. Antony College,ministry_assignment_history,current,count,,,,,
NL-050,ministry_staffing,how many people are assigned to St. Antony College,ministry_assignment_history,current,count,,,,,
NL-051,ministry_staffing,number of members working at St. Antony College,ministry_assignment_history,current,count,,,,,
NL-052,ministry_staffing,staffing at St. Antony College,ministry_assignment_history,current,records,,,,,
NL-053,ministry_staffing,number of members at St. Antony College,ministry_assignment_history,current,count,,,,,
NL-054,ministry_staffing,who works at St. Antony College,ministry_assignment_history,current,records,,,,,
NL-055,ministry_leadership,who was the first principal of St. Antony College,ministry_leadership_history,earliest,records,,,,,
NL-056,ministry_leadership,who was the earliest principal of St. Antony College,ministry_leadership_history,earliest,records,,,,,
NL-057,ministry_leadership,who was the previous principal of St. Antony College,ministry_leadership_history,previous,records,,,,,
NL-058,ministry_leadership,who is the current principal of St. Antony College,ministry_leadership_history,current,records,,,,,
NL-059,ministry_establishment,when was St. Antony College started,ministry_establishment,,records,,,,,
NL-060,ministry_establishment,when was St. Antony College established,ministry_establishment,,records,,,,,
NL-061,ministry_establishment,when did St. Antony College begin,ministry_establishment,,records,,,,,
NL-062,ministry_establishment,when was St. Antony College opened,ministry_establishment,,records,,,,,
NL-063,ministry_establishment,when was St. Antony College founded,ministry_establishment,,records,,,,,
